"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"COLANSYN-PWY",-0.0054878212119085,0.0045909776774641,0.00483961868584488,0.03850331437559,0.0468353856196834,0.0593428355485256,-0.142528540747849,0.0980236976106943,0.081553546289298,0.887285004998828,0.922339367209638,0.935355561662705,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"COMPLETE-ARO-PWY",0.00372416431961412,-0.00532277555959191,-0.00726223799422596,0.0309802075036713,0.039195031098664,0.0499523905722309,0.120211083775755,-0.13580230479198,-0.145383192096178,0.904839459487331,0.892570129437149,0.885043518739337,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CRNFORCAT-PWY",-0.185234508665956,0.254882180729601,0.148590644054147,0.183059316512051,0.196114297911879,0.212761992811231,-1.01188244441939,1.2996613885038,0.698389040687265,0.316887374364089,0.200192619223741,0.488449741073735,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DAPLYSINESYN-PWY",0.0299894093548374,-0.0388722848662197,-0.0331815982913288,0.0315923270043718,0.0397685776569884,0.0466439272339996,0.949262438018176,-0.977462286971906,-0.711380886194808,0.347447941627279,0.333453109970955,0.48044029356314,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DARABCATK12-PWY",-0.0612518158479826,0.0806715882095038,0.0519858601442582,0.0389785843450581,0.0499137218131358,0.0604958902768475,-1.57142227910975,1.61622065594543,0.859328789217832,0.12293842824431,0.112885200529187,0.394615374334098,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DENITRIFICATION-PWY",-0.156221669104605,0.322477491052355,-0.050103556376967,0.167380764837361,0.177027176314469,0.217874806017278,-0.933331074549704,1.82162703922651,-0.229964892650294,0.355522488854102,0.0750178325781619,0.819138630651328,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DENOVOPURINE2-PWY",-0.04555802941053,0.00643258111446535,0.124562025708998,0.124317269343264,0.130788932826587,0.137464436749204,-0.366465814855822,0.0491829161339997,0.906140007224226,0.715697771416729,0.960986459707204,0.369583886063387,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DTDPRHAMSYN-PWY",-0.00541337204473423,0.00591361146910254,0.00246233819996448,0.0324816271783922,0.0403304326484432,0.0533525732550105,-0.166659509235897,0.146629011413068,0.0461521919138781,0.86836840392287,0.884065591936819,0.963388731195098,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ECASYN-PWY",-0.510297758713518,0.636948165452057,0.491267159749858,0.556461082786881,0.590491867281829,0.584004796856991,-0.917041235224993,1.07867390008956,0.841203980504561,0.364617324964559,0.287195034926071,0.405234592949426,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"FAO-PWY",-0.147521604238771,0.0706682398124197,0.332442528236309,0.181524173998613,0.190088096814318,0.196686025147772,-0.812682966621833,0.371765728610823,1.69021936350863,0.420586071985737,0.711774356091535,0.0977528083334314,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"FERMENTATION-PWY",0.0265463046732346,-0.0384504231010332,-0.0233226155723439,0.0289087482079569,0.0368014568928786,0.0456508144028983,0.918279286334784,-1.0448070904626,-0.510891555329255,0.363262673094934,0.301571717710576,0.61187036140975,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"FOLSYN-PWY",0.00913784234803358,-0.0177026203072465,-0.00372437924132106,0.0357314089309874,0.0425349059103603,0.0537812505260281,0.25573697263611,-0.416190418865711,-0.0692505139782609,0.799294078480729,0.67920614402356,0.945090383113021,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"FUC-RHAMCAT-PWY",-0.0460953462977779,0.0532477621357753,0.0501328895165657,0.0584880094598101,0.0660896428145764,0.0783356369708013,-0.788116174982022,0.805689966961529,0.639975513765875,0.434671439337899,0.424567072171055,0.525363425179377,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"FUCCAT-PWY",-0.0612518158488006,0.0806715882110464,0.0519858601442582,0.038978584345058,0.0499137218131013,0.0604958902768475,-1.57142227913073,1.61622065597745,0.859328789217833,0.122938428239437,0.112885200522248,0.394615374334098,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
