"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"PWY-5695",0.00656595347087488,-0.00679611242796818,-0.0135710448588514
"PWY-5705",-0.271125639946465,0.310660254917466,0.304512259919652
"PWY-5723",-0.143340838293184,0.00297029937321745,0.429648085741655
"PWY-5742",-0.235534294387775,0.153248004179659,0.371402947480617
"PWY-5747",-0.144177218540099,0.337592847242718,-0.0854522742683662
"PWY-5837",-0.170202543912183,0.138013749341453,0.292466453001456
"PWY-5838",-0.130919265723074,0.108828548475344,0.219587364954738
"PWY-5840",-0.131036700349939,0.109920222269422,0.218173038584133
"PWY-5845",-0.186269926037829,0.106975562958732,0.392109863633169
"PWY-5850",-0.186269926037829,0.106975562958732,0.392109863633169
"PWY-5855",0.0404044197651458,-0.0773729022606154,-0.00251406440700234
"PWY-5860",-0.197315415431472,0.109752509975485,0.421424135998975
"PWY-5861",-0.146529315147806,0.121163729524047,0.247348472113837
"PWY-5862",-0.197315415431472,0.109752509975485,0.421424135998975
"PWY-5896",-0.186269926037829,0.106975562958732,0.392109863633169
"PWY-5897",-0.136408912271395,0.113216353240073,0.229269224766284
"PWY-5898",-0.136408912271395,0.113216353240073,0.229269224766284
"PWY-5899",-0.136408912271395,0.113216353240073,0.229269224766284
"PWY-5910",-0.295388970025772,0.210788191124372,0.55759141507708
"PWY-5913",0.0520215185487659,-0.123022322160831,0.0360888779060127
"PWY-5918",-0.0652700952526009,0.0117630849457682,0.176268158624474
"PWY-5920",-0.457502719413837,0.490460726342969,0.599596902847808
"PWY-5973",0.00381719147487165,0.00193913972514188,-0.0193477459948953
"PWY-5989",0.0270385856357653,-0.0258659108337401,-0.0452800584544475
"PWY-6071",0.525064398265911,-0.787765032372248,-0.481967912075847
"PWY-6084",-0.24996598245774,0.334971921305763,0.21668495410522
"PWY-6121",-0.00322628328505796,0.00501031512981075,-0.00276776457519392
"PWY-6122",0.000788527760195827,0.00234342247385141,-0.0107294228353536
"PWY-6123",0.00352629963704577,-0.00234460906172359,-0.0114957979628947
"PWY-6124",0.00417882080964548,-0.00280035473242354,-0.0127535573390928
"PWY-6125",-0.0297292020331435,0.0317575863475605,0.0349331083619704
"PWY-6126",-0.0282975148387099,0.0298306439949264,0.0336798476520523
"PWY-6141",-0.0187540463486983,0.0834259080086371,-0.08263932862089
"PWY-6143",0.254999727111406,-0.317241863191767,-0.264726134521076
"PWY-6147",-0.00963919582920386,0.00500184192996292,0.0168855490410052
"PWY-6148",-0.0274382598043027,0.0616035082572166,-0.0205825253170434
"PWY-6151",0.0162296641230636,-0.0219842986712971,-0.0184853560857689
"PWY-6160",0.00473383068777515,0.0613488324252147,-0.118695704222029
"PWY-6163",0.00951129617071154,-0.00961995272552242,-0.0180024163935728
"PWY-6165",0.00458669063228439,0.0591460624860741,-0.114665586650985
"PWY-6167",-0.00177472334431839,0.0640852926809071,-0.103210005414242
"PWY-6168",-0.000374857610751565,-0.0104823795499122,0.0136753731517918
"PWY-6182",0.110458157171976,0.130274909184552,-0.582653445729899
"PWY-6185",0.63827284168684,-0.910225758191449,-0.690794162020678
"PWY-6210",-0.456847081612628,0.590968321540222,0.464767283557465
"PWY-622",0.00295538337079231,-0.00166613461343982,-0.0108498878759551
"PWY-6263",-0.120051547847185,0.156767244229454,0.108404598359395
"PWY-6269",-0.0519012722563269,0.0709938691413645,0.0390761138805373
"PWY-6270",-0.0541805021620746,0.0838292106013063,0.0251988255944849
"PWY-6277",0.000788527760195827,0.00234342247385141,-0.0107294228353536
"PWY-6292",0.0644932232430737,-0.0911883597824555,-0.0538359065851682
"PWY-6293",-0.0325776537908134,0.0525680374823697,0.0098395087757726
"PWY-6305",-0.0699637145736708,0.0318873474359567,0.157940441248693
"PWY-6307",0.113800036543106,-0.118845987319913,-0.159894377568149
"PWY-6313",-0.0628897312349116,0.0557972035283551,0.097422851123597
"PWY-6317",0.000506983856358221,-0.00679696091332475,0.00498592837431345
"PWY-6344",0.0450193609497238,-0.0128516984336689,-0.12149427800356
"PWY-6349",-0.0249660056155189,0.0887543293927889,-0.0722738881155005
"PWY-6350",-0.0164941761794605,0.0799795466916449,-0.0839598438740693
"PWY-6353",-0.0054026197521764,-0.0153382903372157,0.0369637497392724
"PWY-6383",0.16734172576099,-0.338132938508069,0.0447411348797365
