pathway,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_147,Sample_148,Sample_149,Sample_150,Sample_151,Sample_152,Sample_153,Sample_154,Sample_155,Sample_158,Sample_159,Sample_160,Sample_161,Sample_162,Sample_163,Sample_164,Sample_165,Sample_166,Sample_167,Sample_168,Sample_169,Sample_170,Sample_171,Sample_172,Sample_173,Sample_174,Sample_175,Sample_176,Sample_177,Sample_178,Sample_179,Sample_180,Sample_181,Sample_182,Sample_183,Sample_184,Sample_185,Sample_186
P163-PWY,4641.620189546156,2208.239600356356,3350.2418511041365,2896.440731294295,1880.6824171162202,1967.993578988379,1839.756622307117,1389.2398867012819,4610.808069401998,1702.661873180138,3807.5733314806853,3431.9901926248117,3003.7843895923843,2770.3041569888037,2093.1903909254133,2592.7314916689543,1655.6129183993544,1210.4053256295588,1421.2185290648308,3489.5238906695204,3163.836935917843,4019.016328674046,3115.1059706255796,2259.4073781585557,2669.156283393121,2085.1610989346573,2760.943010968999,2636.7239761518204,1878.609449884709,3410.5215399012495,3608.042258459705,2507.7307335245227,3919.1330398895752,2515.459973557025,1091.8874939412885,992.0255522108514,1069.4333531034551,1439.4464045106147,3516.8354406782432,2092.069895114907,2237.1588519051015,2246.172711767521,2261.5269647558825,2483.261598483252,2697.3976532744614,2150.198591421054,3042.2025526398456,1030.5235873776774,3892.397726052734
P164-PWY,7784.462847079002,8778.419982211843,8816.447143024092,7721.639262318299,8372.282995,8119.347037058808,7004.68672,6442.831256,8728.883107348089,7952.166876258657,9458.944640163527,9461.34639,8755.427603324622,7731.715131,8324.712032299409,8500.782860090269,7314.809161208244,5462.151005387924,6990.876488275889,9469.234907424227,7582.529950208892,9459.403934649907,7993.2254158548285,6731.063098918666,9292.195181,9695.803849750293,9224.181573666407,7027.2625225605325,7022.467159363754,9840.934338231304,7638.872292968515,6776.760158956794,9179.310476375636,8731.987439,7183.076086187757,6248.887230781466,6288.499545008467,6870.690673307453,7021.111003,6501.9647175735645,7497.464760537551,7769.282341191911,7261.891308829188,6830.871920145524,7013.507674868808,8040.047294574417,8671.125871227548,5829.758569172969,10090.882726662574
P184-PWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9342688653351774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P185-PWY,217.39389281795542,957.8219645936917,191.46580189467883,176.84137418157786,912.5360849672848,281.0305183806601,513.0073030898703,281.12801125527994,63.50478269300431,379.2992277468764,293.3753265045178,557.3380569743556,192.2730877474443,489.99216156758865,2384.7218738171146,613.0360598287085,728.4572205,1538.9942036063778,748.4791367302748,165.42856458775046,69.54765721123746,92.69197113730935,266.2277474254797,122.17316582512768,522.8751941093749,356.1755704599231,290.4525274208177,148.76294272475064,484.24778317583014,329.029531,72.43487676509612,63.39809894904847,147.90464946354453,275.5604798452944,860.2870978070455,812.9290185415913,1383.5521852574532,336.68289165525175,68.09878595431206,55.362669490836154,170.96448503711676,533.2755000564937,352.76579309153914,159.99675584627403,100.47982360603702,586.1315641613434,169.8508151174944,2971.754004078586,163.84250807849162
P221-PWY,5557.7044641205375,3903.8100883159655,3810.6131492417853,3178.192016040805,3176.0881916247467,4133.701616684598,3836.392953320534,3395.6985619713014,5290.558229250774,4241.316620642471,3785.4663187902656,3315.462183858269,3487.4584955410946,3563.311678,2734.821853962594,3399.3287104857527,3004.335989,2315.919353137763,3017.6668315654356,2612.357202601862,2881.215408811989,4074.9155240373066,4023.1606399086045,4260.321616841384,4790.403232914409,5827.497842187481,4473.2128650105005,3662.9092040818314,3712.1053299648597,4002.7839825139217,2643.211456441847,2927.5734850783724,3777.3365976681785,3879.7343079471193,3540.784143122829,3100.7663302811966,3363.5971813526703,3597.9913566370383,4568.6365080783935,2908.558832082093,3580.6020487827195,3793.9909640563833,3773.057233590257,4606.778427612098,3614.1744377220807,4004.927422446236,3607.807586153928,2803.2123742671542,4296.274551483985
P23-PWY,2464.5202892809257,6955.508807538669,3793.1605098595887,4343.903893939206,7856.925054729068,4428.791879327035,4871.53424,4507.825066986237,2276.210182505348,3914.834139,6389.069290063225,3670.2787726929173,3294.9019655713896,4996.365228,9619.149466,3685.8044028170507,3976.3356826894124,5471.075753242626,4824.4845283540435,8768.070900718747,4713.352008342146,5374.352694341374,3715.0314197860507,2306.853518,7689.975821399711,5152.928861,4606.475178356531,3268.285353303386,4490.128860167507,4706.029379235741,1749.5359288418347,2513.9889980787334,2286.1713696570923,2744.505786936746,5809.662126357887,6355.310055088355,5676.296837,3627.950235007453,2352.6277600763597,2883.8358173228426,2510.748616915349,4680.238918812874,3280.326724807228,3574.4343845539365,2423.8532012268174,3118.0561178119465,3958.606783801741,5660.051346465397,4001.780979879293
P241-PWY,0,10.408024277390284,10.370004631292817,16.982993685488115,43.69817076849537,0,46.687029119102924,0,44.512975872442695,0,33.63486490375508,30.054307281535824,105.22966849786458,0,20.709829204770386,27.237205646405094,0,0,52.509877965651825,27.163416349563306,0,27.134518490185418,0,17.125390709221346,0,0,30.749198612539875,20.76820817067647,0,91.89705256,36.851110725356186,17.104498591523924,39.50167778795694,0,0,82.20530294346119,0,30.569464825893117,0,0,0,0,0,0,17.228417814294726,0,0,0,43.45199354783389
P261-PWY,1586.7196258851425,517.0559776,333.72555631078023,273.1985260874419,358.09372521715073,481.4261825331572,469.9788018994872,470.1665729724717,1010.3482279815004,591.7156364977532,356.68810113128916,280.91189700231774,433.30431538033594,751.4925917021571,399.82476177787845,428.572717,268.43332093000953,209.95262602723167,220.77219036299508,288.18234178642916,469.0620586819455,390.28086186126416,423.3488774089954,330.0638512968824,305.67863327039936,520.4922677910145,487.6930170910557,910.8579081661475,559.1465611565179,568.6208075549148,302.6843059122554,388.7112452403513,257.3351333922215,378.10565097373745,359.2197574,566.0326575365332,258.55062901616395,394.14068625534395,321.5653649,318.7371479163841,495.3226297655118,325.17097586627807,423.63403031019834,1010.8927178070966,495.94081309008527,521.5375698796772,351.351924,297.2715471776732,408.8187768375641
P341-PWY,29.981022944259724,57.43278147795213,4.999473649338806,92.29350561466562,74.88098913226445,0,22.48780855,9.997375667052689,0,94.81356205,37.470432643347415,0,0,34.97034693653985,149.5234268,0,0,62.378802517315584,0,112.23129572783537,57.41763984454169,24.98815509426317,37.46848920826586,0,24.988861135454613,59.94055951674853,12.496954006312151,12.496091699040479,47.445451013069636,0,124.59628899395835,0,47.45581554660466,99.81508839,62.420514986439215,74.86565662284926,206.48898402492992,69.88977161548132,0,0,0,19.991069856374942,44.951904074277714,19.99048624,7.4985553098953455,62.41486254666597,14.994994540102239,146.96548351861392,37.47520814230278
P381-PWY,50.291721535967994,12.692643096062572,10.155136472660821,30.464779853876582,0,25.386880565683516,40.33415340482396,83.89844240257798,54.34980289896811,80.99786559177593,47.59651815998758,9.552973539089875,105.65658830346938,0,19.957942950261174,34.96038384,12.824615143701394,12.696693160000901,0,60.255509703843025,0,15.343344653579054,73.27769382,10.255475720093855,65.61364199260505,80.62361974739423,108.98271061789087,10.254595703311374,124.56391304007106,47.45471452775622,0,0,9.997697673,38.46586071597363,15.29816465,0,0,51.30614358875949,67.36505307,12.442907316254388,17.786324781824106,0,89.86585051,27.08609623655627,44.61621175888319,76.2676351,10.143921466522823,10.267785779348577,24.62208163301174
P4-PWY,9492.92687,10390.746824842596,7975.382151692976,7885.010174615042,10544.057224853792,8463.585804780945,8444.018627175938,7493.7077873286935,9307.645549,8533.100272335116,9421.497850480606,8067.924666397316,8439.503273947374,8650.140563028883,12678.800779355764,8336.990251051864,7687.734398949143,8334.652948,8351.931268285676,11621.76848,8204.694313617149,8630.653865079086,8026.726758976349,7103.0838111913945,12118.770646816227,9753.177777055784,9368.1947,7097.793825532045,8057.544961293601,10192.165317355311,6555.642140320318,6264.286998378317,7791.743273,8394.440130271894,9837.380989187532,8948.330549,9158.693042806071,7581.7410412584695,7028.516197098337,6123.157692972882,7090.257101031884,8306.492176723514,7002.0235663922995,8068.487779488733,6333.751662490423,7819.328838962182,8122.618711884748,9286.488434009538,9319.924046
