"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"CAG-314",-0.238236556204961,0.0574249609779799,0.447051749242734,0.289619907574146,0.36542224914801,0.428055413596189,-0.822583496419251,0.157146865336929,1.04437821609813,0.420444644264333,0.876704728018853,0.30877007780026,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CAG-382",-0.297813000672686,0.381087283772998,0.24712477966806,0.267825606228058,0.336280518639666,0.393124593388175,-1.11196612178708,1.13324222680097,0.62861694186618,0.277167817050006,0.26830678123364,0.535537287019318,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CAG-508",0.0542502685399085,-0.134918840687964,0.0338854971377849,0.183192310665679,0.210632400758992,0.230470223467959,0.296138349599802,-0.640541721984833,0.147027657750745,0.768457298278522,0.524998664130484,0.883752706249997,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CAG-826",0.190266052950665,-0.121967139236926,-0.403709357478094,0.200545618143534,0.242751353807043,0.270421192562353,0.948742010481067,-0.502436494479343,-1.49289097371689,0.347709793544546,0.617757424931563,0.142293332065663,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Campylobacteraceae",0.267226565592513,-0.326620067651215,-0.252413767132655,0.231060273458147,0.292710600421137,0.326461281812097,1.15652319454611,-1.11584639292629,-0.773181327144142,0.255771180408484,0.272547640571049,0.44491838437748,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Christensenellaceae",0.0357385813932663,-0.0721870569824771,-0.0113616094970398,0.2717132400414,0.296042928945153,0.328507737598118,0.131530511313402,-0.243839828364389,-0.0345855156414585,0.895929257726783,0.808439133937181,0.972559896120618,0.968682111838657,0.988329030448414,0.985536075087419,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Desulfobulbaceae",-0.258126409861224,0.188520476387516,0.365361349058363,0.285209887153872,0.357807045032067,0.401471302708674,-0.905040187901914,0.526877486078064,0.910055953173535,0.376777802657057,0.60437633570262,0.37419395636531,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Desulfovibrionaceae",0.137800261877138,-0.0860496306885028,-0.284217594921425,0.137766736475403,0.185153702007646,0.2494702434809,1.00024334903034,-0.464747016967284,-1.13928455336272,0.322541196221413,0.644353598557651,0.260612915194256,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Dethiosulfovibrionaceae",0.039866540918209,-0.154318104716831,0.111367601468659,0.426690826566448,0.464319165350071,0.49072780155973,0.0934319147168276,-0.332353510759099,0.226943737678378,0.926026865689071,0.741357801830443,0.821623372233606,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Elusimicrobiaceae",0.117694251573327,-0.199710579208098,-0.0797281145889665,0.315352643626104,0.359987974655095,0.397827368389796,0.373214729453387,-0.554770140306606,-0.200408822831032,0.711118420779338,0.582390280472833,0.842258385877171,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Endomicrobiaceae",0.181766369020845,-0.221257698972798,-0.242867787104891,0.261462080332474,0.342339247847792,0.372138671180978,0.69519208594115,-0.646311225966039,-0.652627114333893,0.493899315892308,0.524475126209287,0.520466980059851,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
